time,usdjpy close,usejpy volume,eurusd close,eurusd volume
1/28/19 2:00,109.31,9250,1.14114,10982
1/28/19 6:00,109.394,12302,1.14086,26791
1/28/19 10:00,109.42,10818,1.14174,28473
1/28/19 14:00,109.263,19167,1.14342,43436
1/28/19 18:00,109.345,8214,1.14282,14404
1/28/19 22:00,109.187,9035,1.14252,8345
1/29/19 2:00,109.319,7600,1.14332,11101
1/29/19 6:00,109.448,9995,1.14418,31027
1/29/19 10:00,109.486,8891,1.14262,34568
1/29/19 14:00,109.382,16758,1.1428,49247
1/29/19 18:00,109.388,9634,1.14327,38859
1/29/19 22:00,109.272,9621,1.14398,9825
1/30/19 2:00,109.274,7551,1.14447,10186
1/30/19 6:00,109.36,9851,1.14303,40346
1/30/19 10:00,109.573,10781,1.14255,33699
1/30/19 14:00,109.525,14026,1.14192,21042
1/30/19 18:00,109.042,22224,1.14799,31978
1/30/19 22:00,108.898,10461,1.14934,3892
1/31/19 2:00,108.738,9299,1.1505,4641
1/31/19 6:00,108.563,12490,1.14844,23662
1/31/19 10:00,108.566,12392,1.14946,25145
1/31/19 14:00,108.821,19029,1.145,29882
1/31/19 18:00,108.872,8645,1.14473,10119
1/31/19 22:00,108.814,8235,1.14427,2898
2/1/19 2:00,108.894,7854,1.14367,4369
2/1/19 6:00,108.916,8937,1.14666,16180
2/1/19 10:00,108.982,11906,1.14738,23553
2/1/19 14:00,109.559,21178,1.14687,26911
2/1/19 18:00,109.502,7010,1.14559,8200
2/3/19 22:00,109.546,7944,1.14583,2464
2/4/19 2:00,109.75,7779,1.14434,3668
2/4/19 6:00,109.881,9706,1.14454,14491
2/4/19 10:00,109.998,8933,1.1449,15040
2/4/19 14:00,109.908,14478,1.14312,20775
2/4/19 18:00,109.9,5216,1.14376,6362
2/4/19 22:00,110.026,6488,1.14382,2078
2/5/19 2:00,109.821,5627,1.14342,3329
2/5/19 6:00,110.002,7549,1.14195,13175
2/5/19 10:00,109.881,8878,1.14288,16578
2/5/19 14:00,109.92,14286,1.14094,19220
2/5/19 18:00,109.966,7448,1.14042,7644
2/5/19 22:00,109.99,7217,1.14012,2916
2/6/19 2:00,109.756,10107,1.13967,4240
2/6/19 6:00,109.659,9816,1.13885,13347
2/6/19 10:00,109.79,7241,1.13868,13235
2/6/19 14:00,109.751,12936,1.13754,16263
2/6/19 18:00,109.98,7841,1.1362,7949
2/6/19 22:00,109.818,8510,1.13608,2786
